iter	Logloss
0	0.5643357502
1	0.4585909796
2	0.3787391767
3	0.3167857241
4	0.269086642
5	0.2332823726
6	0.2065950224
7	0.1848667735
8	0.1680199315
9	0.1559161464
10	0.145287838
11	0.1365828202
12	0.1296914659
13	0.1247325637
14	0.120612792
15	0.1171749426
16	0.1142334537
17	0.1118342737
18	0.1100373506
19	0.1082512313
20	0.1068209972
21	0.1058120619
22	0.1049828209
23	0.1041170322
24	0.1034960276
25	0.1030234177
26	0.1025925587
27	0.1022525534
28	0.1019585988
29	0.1016266235
30	0.1014087751
31	0.1012290503
32	0.1010149571
33	0.1008478026
34	0.1007355711
35	0.100674454
36	0.10059199
37	0.1004535716
38	0.1003976903
39	0.1003029422
40	0.1002130726
41	0.1001618709
42	0.1001180852
43	0.1000443953
44	0.1000111307
45	0.09997973121
46	0.09996476798
47	0.09993520911
48	0.09991715592
49	0.09990958013
50	0.0999020923
51	0.09988973419
52	0.09988289966
53	0.09986935121
54	0.09985094799
55	0.09984511769
56	0.09982199784
57	0.09981582609
58	0.09978987858
59	0.09975135002
60	0.09974868815
61	0.09974184876
62	0.09973409228
63	0.09972729465
64	0.0997212261
65	0.09969757532
66	0.09969644441
67	0.09969643994
68	0.09969641213
69	0.09967916573
70	0.09967121321
71	0.099622535
72	0.09961364471
73	0.09961095412
74	0.09958675564
75	0.09957902331
76	0.09956166918
77	0.0995544209
78	0.09954765564
79	0.09952155734
80	0.0995148349
81	0.09951291424
82	0.09950754391
83	0.09950567346
84	0.09950387372
85	0.09949267883
86	0.09949267268
87	0.09946697864
88	0.09945996173
89	0.09945872452
90	0.09944941017
91	0.09944765752
92	0.09944685848
93	0.09944536013
94	0.09944487628
95	0.09943869915
96	0.09943797784
97	0.09943224203
98	0.09942532062
99	0.09941685167
100	0.09941559826
101	0.09941094893
102	0.09939661761
103	0.09938811492
104	0.09938085066
105	0.09937349212
106	0.09937284971
107	0.09935100459
108	0.0993482297
109	0.09934010415
110	0.09931846714
111	0.09930012374
112	0.09929923807
113	0.09929687888
114	0.09929543389
115	0.09928911387
116	0.09926716866
117	0.09926113642
118	0.09926113305
119	0.09925659753
120	0.09924997864
121	0.09924767069
122	0.09922942948
123	0.09922145454
124	0.09921731799
125	0.09921277667
126	0.09920112487
127	0.09918561101
128	0.09918014187
129	0.09917376697
130	0.09916404012
131	0.09916348192
132	0.0991603674
133	0.09916035895
134	0.09914999888
135	0.09914820625
136	0.09914522161
137	0.09914053274
138	0.09914052238
139	0.09913852066
140	0.09910367434
141	0.0991036312
142	0.09910238342
143	0.09910089032
144	0.09907933992
145	0.09907726857
146	0.09906735352
147	0.09906207501
148	0.09905780028
149	0.09905686394
150	0.09903817228
151	0.09903814943
152	0.09903617453
153	0.09902609062
154	0.0990254679
155	0.09902378594
156	0.09900572728
157	0.09900003587
158	0.09899658492
159	0.09899492225
160	0.0989921268
161	0.09898928782
162	0.09898352952
163	0.09898038508
164	0.09897536462
165	0.09897236259
166	0.09896719672
167	0.09893568171
168	0.09893254178
169	0.0989279363
170	0.09892259226
171	0.09892072503
172	0.09891704237
173	0.0988987635
174	0.09889497636
175	0.09889128741
176	0.09887559785
177	0.09887559399
178	0.09886209296
179	0.0988581393
180	0.09885691386
181	0.09885526355
182	0.0988512433
183	0.09882828006
184	0.09881537283
185	0.0988097402
186	0.09880972743
187	0.098807753
188	0.09879851961
189	0.09876425379
190	0.09876350603
191	0.09874689604
192	0.09872872495
193	0.09871912995
194	0.09871015567
195	0.09870695174
196	0.09870305176
197	0.09870039567
198	0.09869898299
199	0.0986859964
200	0.09868241132
201	0.09868239021
202	0.09868218042
203	0.09867689868
204	0.09867455342
205	0.09864021331
206	0.09862231038
207	0.09861999284
208	0.09860392196
209	0.09859909884
210	0.09859682522
211	0.09859608768
212	0.09859217985
213	0.09858983505
214	0.0985858298
215	0.0985783342
216	0.09857583041
217	0.09856473973
218	0.0985647357
219	0.09855941368
220	0.09854678933
221	0.09853711998
222	0.09853230141
223	0.09852525618
224	0.09851149583
225	0.09850404063
226	0.09849249774
227	0.09849091244
228	0.0984881151
229	0.09848162713
230	0.09848149208
231	0.09846854858
232	0.09846851616
233	0.09846598761
234	0.09845462541
235	0.09844117537
236	0.09843692779
237	0.09843600938
238	0.09843276648
239	0.09841988168
240	0.09841275696
241	0.09840299032
242	0.09840297688
243	0.09839535268
244	0.09839357698
245	0.09837514725
246	0.09836802508
247	0.09836592277
248	0.09835967894
249	0.09835542117
250	0.09834130651
251	0.09833887474
252	0.09833423088
253	0.09833354826
254	0.09832103414
255	0.09831829225
256	0.09831115051
257	0.09830113596
258	0.0982845862
259	0.09826263233
260	0.09826068486
261	0.09825384792
262	0.09825114397
263	0.09822288634
264	0.09821937735
265	0.09821731805
266	0.09821367327
267	0.09819663029
268	0.0981929563
269	0.09819175728
270	0.09819040866
271	0.09818600827
272	0.09818382327
273	0.09818328057
274	0.0981813186
275	0.09817227274
276	0.0981586385
277	0.09815397007
278	0.09815374915
279	0.09815191665
280	0.09813579328
281	0.09813285454
282	0.098131777
283	0.09812507147
284	0.09811809916
285	0.09811621887
286	0.09810309267
287	0.09809463427
288	0.0980895746
289	0.09808684295
290	0.09808398914
291	0.09806758511
292	0.09806433182
293	0.09804397124
294	0.0980406874
295	0.09803600009
296	0.09803187561
297	0.09802858371
298	0.09801346432
299	0.09800040372
